run_dir,first_round,final_round,first_val_rmse,final_val_rmse,best_val_rmse,best_val_rmse_round,delta_val_rmse_first_to_final,val_rmse@0,val_rmse@5,val_rmse@10,val_rmse@15,val_rmse@20,val_rmse@25,val_rmse@30,final_val_mae,final_val_accuracy,final_train_loss,final_total_bytes,client_update.steps,client_update.lr
2026-05-25_14-06-51_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p01__seed_42,0,30,1.0922261476516724,1.0169116258621216,1.0169116258621216,30,0.07531452178955078,1.0922261476516724,1.0667130947113037,1.0429441928863523,1.0419504642486572,1.0307164192199707,1.0209288597106934,1.0169116258621216,0.8272285461425781,0.3608429729938507,1.3335169744491575,366897000.0,5,0.01
2026-05-25_14-13-11_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p01__seed_43,0,30,1.092220425605774,1.0167765617370603,1.0167765617370603,30,0.0754438638687136,1.092220425605774,1.0664414167404177,1.0435861349105835,1.0426636934280396,1.0304558277130127,1.0207676887512207,1.0167765617370603,0.8271366357803345,0.360163152217865,1.2771410059928894,366897000.0,5,0.01
2026-05-25_14-19-33_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p01__seed_44,0,30,1.092172622680664,1.017296314239502,1.017296314239502,30,0.07487630844116211,1.092172622680664,1.0672448873519895,1.0442487001419067,1.042911410331726,1.030847668647766,1.0214793682098389,1.017296314239502,0.8277390003204346,0.3602991104125976,1.231819016933441,366897000.0,5,0.01
2026-05-25_14-07-10_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p03__seed_42,0,30,1.0922261476516724,1.005722165107727,1.0054774284362793,25,0.08650398254394531,1.0922261476516724,1.0412763357162476,1.0166605710983276,1.0185438394546509,1.0132088661193848,1.0054774284362793,1.005722165107727,0.8060333728790283,0.3870836198329925,1.08126993060112,366897000.0,5,0.03
2026-05-25_14-13-30_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p03__seed_43,0,30,1.092220425605774,1.005621314048767,1.00536048412323,25,0.08659911155700684,1.092220425605774,1.0410058498382568,1.017582893371582,1.0192302465438845,1.0129084587097168,1.00536048412323,1.005621314048767,0.8061320185661316,0.3893949687480926,1.01610862493515,366897000.0,5,0.03
2026-05-25_14-19-52_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p03__seed_44,0,30,1.092172622680664,1.00567626953125,1.00567626953125,30,0.08649635314941406,1.092172622680664,1.042206883430481,1.018157124519348,1.019187331199646,1.0130834579467771,1.005743145942688,1.00567626953125,0.8066266179084778,0.3880353569984436,0.9865840423107148,366897000.0,5,0.03
2026-05-25_14-07-30_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p05__seed_42,0,30,1.0922261476516724,1.0046724081039429,1.0039138793945312,25,0.08755373954772949,1.0922261476516724,1.0277305841445925,1.0090467929840088,1.0146414041519165,1.0114189386367798,1.0039138793945312,1.0046724081039429,0.8025850057601929,0.3885791897773742,1.0455877459049223,366897000.0,5,0.05
2026-05-25_14-13-49_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p05__seed_43,0,30,1.092220425605774,1.0045627355575562,1.0038602352142334,25,0.08765769004821777,1.092220425605774,1.0274653434753418,1.0099005699157717,1.0150136947631836,1.0112251043319702,1.0038602352142334,1.0045627355575562,0.8027387857437134,0.3872195780277252,0.9856687045097352,366897000.0,5,0.05
2026-05-25_14-20-11_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p05__seed_44,0,30,1.092172622680664,1.004448175430298,1.0040512084960938,25,0.08772444725036599,1.092172622680664,1.0287034511566162,1.010262131690979,1.0149586200714111,1.011247992515564,1.0040512084960938,1.004448175430298,0.8032103776931763,0.3880353569984436,0.9565671253204344,366897000.0,5,0.05
2026-05-25_14-07-49_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p1__seed_42,0,30,1.0922261476516724,1.00262713432312,1.0020748376846311,25,0.08959901332855247,1.0922261476516724,1.0141528844833374,1.0052191019058228,1.0129390954971311,1.009967565536499,1.0020748376846311,1.00262713432312,0.7999267578125,0.3895309269428253,0.9910813856124878,366897000.0,5,0.1
2026-05-25_14-14-09_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p1__seed_43,0,30,1.092220425605774,1.002497673034668,1.0020875930786133,25,0.08972275257110596,1.092220425605774,1.013899803161621,1.0057451725006104,1.0129464864730835,1.0099737644195557,1.0020875930786133,1.002497673034668,0.8002562522888184,0.3865397572517395,0.9459784293174744,366897000.0,5,0.1
2026-05-25_14-20-31_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p1__seed_44,0,30,1.092172622680664,1.0022015571594238,1.0021222829818726,25,0.08997106552124023,1.092172622680664,1.0149329900741575,1.0059127807617188,1.0130066871643066,1.0098167657852173,1.0021222829818726,1.0022015571594238,0.800521194934845,0.38925901055336,0.917613068819046,366897000.0,5,0.1
2026-05-25_14-08-07_sweep_client_update_steps_lr_eval10_medium_v1__client_update_steps_5__client_update_lr_0p2__seed_42,0,30,1.0922261476516724,0.998777449131012,0.998777449131012,30,0.0934486985206604,1.0922261476516724,1.008126735687256,1.0036276578903198,1.0108318328857422,1.0072954893112185,0.998836100101471,0.998777449131012,0.7965390682220459,0.3903467059135437,0.9146530079841614,366897000.0,5,0.2
